Data_Coleta,Pessoa,Fonte,Portal,Titulo,Link
06/05/2026 19:46,Yuri Luna,Google,eduplay.rnp.br,Menção identificada na busca web,https://eduplay.rnp.br/app/canal/299242
06/05/2026 19:46,Yuri Luna,Google,observatoriolatinoamericano.com,Menção identificada na busca web,https://observatoriolatinoamericano.com/author/yuri-de-oliveira-luna-e-almeida/
06/05/2026 19:46,Yuri Luna,Google,portaltransparenciabrasil.com,Menção identificada na busca web,https://portaltransparenciabrasil.com/viagem/yuri-de-oliveira-luna-e-almeida-0000000000021252771-1
06/05/2026 19:46,Yuri Luna,Google,ifbaiano.edu.br,Menção identificada na busca web,https://www.ifbaiano.edu.br/unidades/lapa/ngti/
06/05/2026 19:46,Yuri Luna,Google,researchgate.net,Menção identificada na busca web,https://www.researchgate.net/publication/376467786_O_uso_das_tecnologias_da_informacao_e_comunicacao_na_organizacao_do_trabalho_pedagogico_em_uma_escola_de_ensino_fundamental_Pos-Pandemia_COVID-19
06/05/2026 19:46,Yuri Luna,Google,ojs.observatoriolatinoamericano.com,Menção identificada na busca web,https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/view/2082
06/05/2026 19:46,Yuri Luna,Google,anais2.uesb.br,Menção identificada na busca web,https://anais2.uesb.br/index.php/semgepraxis/article/view/2010
06/05/2026 19:46,Yuri Luna,Google,cefor.ifes.edu.br,Menção identificada na busca web,https://cefor.ifes.edu.br/images/stories/Classifica%C3%A7%C3%A3o_preliminar_TCF_05.2026.pdf
06/05/2026 19:46,Yuri Luna,Google,portal.ifsuldeminas.edu.br,Menção identificada na busca web,https://portal.ifsuldeminas.edu.br/attachments/article/6490/Edital%20208%20de%202024%20-%20RESULTADO%20FINAL.pdf
06/05/2026 19:46,Yuri Luna,Google,editorametrics.com.br,Menção identificada na busca web,https://editorametrics.com.br/livro/coordenacao-pedagogica-e-processos-formativos
06/05/2026 19:53,Yuri Luna,Google,concurso.ifbaiano.edu.br,Menção identificada na busca web,https://concurso.ifbaiano.edu.br/portal/eleicao-cis-pcctae-2025/wp-content/uploads/sites/1150/2025/03/resultado.final_.pdf
